step,train_loss,val_loss,lr,sec_per_step,mps_driver_gb
315,4.357,,4.93e-05,16.9,17.48
316,3.3927,,4.93e-05,16.57,17.48
317,3.7992,,4.93e-05,16.7,17.48
318,3.5505,,4.93e-05,16.59,17.48
319,4.2113,,4.93e-05,16.46,17.48
320,4.4479,,4.93e-05,16.34,17.48
321,3.7895,,4.93e-05,16.13,17.48
322,4.43,,4.93e-05,16.08,17.48
323,4.3762,,4.93e-05,16.08,17.48
324,4.0843,,4.93e-05,16.07,17.48
325,4.5042,,4.93e-05,16.15,17.48
326,3.144,,4.93e-05,16.14,17.48
327,4.4419,,4.92e-05,16.15,17.48
328,3.9106,,4.92e-05,15.98,17.48
329,3.7506,,4.92e-05,16.15,17.48
330,4.395,,4.92e-05,16.19,17.48
331,4.6407,,4.92e-05,16.17,17.48
332,4.106,,4.92e-05,16.02,17.48
333,4.1413,,4.92e-05,16.37,17.48
334,4.2924,,4.92e-05,16.38,17.48
335,4.4135,,4.92e-05,16.23,17.48
336,3.393,,4.92e-05,16.2,17.48
337,3.6066,,4.92e-05,16.09,17.48
338,3.632,,4.92e-05,16.01,17.49
339,4.4702,,4.92e-05,15.99,17.49
340,4.5039,,4.92e-05,16.05,17.49
341,3.4168,,4.92e-05,16.06,17.49
342,3.9887,,4.91e-05,16.02,17.49
343,4.1892,,4.91e-05,15.97,17.49
344,3.9803,,4.91e-05,16.01,17.49
345,3.2569,,4.91e-05,16.26,17.49
346,4.1572,,4.91e-05,16.24,17.49
347,3.7394,,4.91e-05,16.05,17.49
348,4.3993,,4.91e-05,16.13,17.49
349,4.3062,,4.91e-05,16.23,17.49
350,3.4328,,4.91e-05,16.28,17.49
351,4.4281,,4.91e-05,16.09,17.49
352,4.3889,,4.91e-05,16.11,17.49
353,4.2689,,4.91e-05,16.29,17.49
354,4.1643,,4.91e-05,16.29,17.49
355,4.1639,,4.91e-05,16.32,17.49
356,3.7559,,4.90e-05,16.39,17.49
357,4.2794,,4.90e-05,16.25,17.49
358,4.4034,,4.90e-05,16.19,17.49
359,3.6135,,4.90e-05,16.17,17.49
360,3.7581,,4.90e-05,16.2,17.49
361,3.3131,,4.90e-05,16.17,17.49
362,4.0204,,4.90e-05,16.15,17.49
363,4.4574,,4.90e-05,16.15,17.49
364,4.4729,,4.90e-05,16.21,17.49
365,4.4886,,4.90e-05,16.38,17.49
366,4.1317,,4.90e-05,16.46,17.49
367,3.7731,,4.90e-05,16.33,17.49
368,4.3997,,4.90e-05,16.45,17.49
369,4.0093,,4.89e-05,16.25,17.49
370,3.769,,4.89e-05,16.2,17.49
371,3.9514,,4.89e-05,16.23,17.49
372,4.5048,,4.89e-05,16.18,17.49
373,4.4831,,4.89e-05,16.26,17.49
374,3.9887,,4.89e-05,16.21,17.49
375,4.0346,,4.89e-05,16.18,17.49
376,3.5162,,4.89e-05,16.41,17.49
377,4.4043,,4.89e-05,16.34,17.49
378,3.1553,,4.89e-05,16.38,17.49
379,3.8364,,4.89e-05,16.34,17.49
380,3.964,,4.89e-05,16.21,17.49
381,4.35,,4.89e-05,16.21,17.49
382,4.2634,,4.88e-05,16.19,17.49
383,4.3318,,4.88e-05,16.19,17.49
384,4.141,,4.88e-05,16.23,17.49
385,3.6306,,4.88e-05,16.24,17.49
386,4.0157,,4.88e-05,16.13,17.49
387,4.2808,,4.88e-05,16.23,17.49
388,4.3002,,4.88e-05,16.39,17.49
389,4.0447,,4.88e-05,16.26,17.49
390,3.6674,,4.88e-05,16.14,17.49
391,3.3675,,4.88e-05,16.24,17.49
392,3.5533,,4.88e-05,16.16,17.49
393,3.7495,,4.88e-05,16.19,17.5
394,4.4769,,4.87e-05,16.11,17.51
395,3.6918,,4.87e-05,16.18,17.51
396,4.1567,,4.87e-05,16.21,17.51
397,4.1493,,4.87e-05,16.31,17.51
398,4.5506,,4.87e-05,16.41,17.51
399,4.6194,,4.87e-05,16.21,17.51
400,4.0968,,4.87e-05,16.25,17.51
401,4.7531,,4.87e-05,16.36,17.51
402,3.7561,,4.87e-05,16.17,17.51
403,4.4469,,4.87e-05,16.26,17.51
404,4.0725,,4.87e-05,16.27,17.51
405,4.299,,4.86e-05,16.23,17.51
406,3.9314,,4.86e-05,16.19,17.51
407,4.2921,,4.86e-05,16.42,17.51
408,4.0325,,4.86e-05,16.38,17.51
409,3.3695,,4.86e-05,16.28,17.51
410,4.3109,,4.86e-05,16.3,17.51
411,4.0288,,4.86e-05,16.41,17.51
412,4.2812,,4.86e-05,16.31,17.51
413,4.0747,,4.86e-05,16.1,17.51
414,4.2956,,4.86e-05,16.25,17.51
415,4.2972,,4.86e-05,16.48,17.51
416,4.2254,,4.85e-05,16.49,17.51
417,3.1799,,4.85e-05,16.43,17.51
418,4.2846,,4.85e-05,16.53,17.51
419,4.4631,,4.85e-05,16.35,17.51
420,4.2071,,4.85e-05,16.33,17.51
421,3.9799,,4.85e-05,16.4,17.51
422,4.5227,,4.85e-05,16.35,17.51
423,4.1123,,4.85e-05,16.42,17.51
424,3.389,,4.85e-05,16.3,17.51
425,4.4015,,4.85e-05,16.19,17.51
426,2.9857,,4.85e-05,16.3,17.51
427,4.1105,,4.84e-05,16.43,17.51
428,3.8274,,4.84e-05,16.37,17.51
429,4.3543,,4.84e-05,16.38,17.51
430,4.0328,,4.84e-05,16.31,17.51
431,4.2998,,4.84e-05,16.2,17.51
