step,train_loss,val_loss,lr,sec_per_step
247,4.4959,,9.73e-05,1.14
248,4.7633,,9.73e-05,1.21
249,4.6711,,9.72e-05,1.14
250,4.4145,,9.72e-05,1.16
250,,4.5804,9.72e-05,
251,4.4464,,9.72e-05,1.14
252,4.5265,,9.71e-05,1.24
253,4.9037,,9.71e-05,1.17
254,4.6264,,9.70e-05,1.19
255,4.8601,,9.70e-05,1.19
256,4.6503,,9.70e-05,1.17
257,4.6115,,9.69e-05,1.23
258,4.5968,,9.69e-05,1.16
259,4.5801,,9.69e-05,1.17
260,4.6194,,9.68e-05,1.19
261,4.7513,,9.68e-05,1.17
262,4.8043,,9.67e-05,1.24
263,4.5083,,9.67e-05,1.16
264,4.8059,,9.67e-05,1.18
265,4.3476,,9.66e-05,1.18
266,4.5587,,9.66e-05,1.16
267,4.4759,,9.65e-05,1.44
268,4.5469,,9.65e-05,1.28
269,4.5702,,9.64e-05,1.19
270,4.5282,,9.64e-05,1.23
271,4.6238,,9.64e-05,1.19
272,4.3796,,9.63e-05,1.23
273,4.9416,,9.63e-05,1.12
274,4.6211,,9.62e-05,1.24
275,4.5423,,9.62e-05,1.28
276,4.1621,,9.62e-05,1.22
277,4.5986,,9.61e-05,1.27
278,4.6136,,9.61e-05,1.15
279,4.6074,,9.60e-05,1.21
280,4.5389,,9.60e-05,1.35
281,4.706,,9.59e-05,1.18
282,4.0978,,9.59e-05,1.32
283,4.4206,,9.58e-05,1.37
284,4.6639,,9.58e-05,1.23
285,4.2308,,9.58e-05,1.37
286,4.6081,,9.57e-05,1.29
287,4.6089,,9.57e-05,1.43
288,4.1485,,9.56e-05,1.14
289,4.8566,,9.56e-05,1.28
290,4.5849,,9.55e-05,1.28
291,4.4008,,9.55e-05,1.26
292,4.969,,9.54e-05,1.35
293,4.7447,,9.54e-05,1.2
294,4.8919,,9.53e-05,1.26
295,4.4962,,9.53e-05,1.18
296,4.6463,,9.52e-05,1.32
297,4.3115,,9.52e-05,1.38
298,5.0932,,9.51e-05,1.16
299,4.5383,,9.51e-05,1.28
300,4.566,,9.50e-05,1.53
301,4.6342,,9.50e-05,1.5
302,4.3875,,9.50e-05,1.55
303,4.8992,,9.49e-05,1.22
