step,train_loss,val_loss,lr,sec_per_step
222,6.8829,,1.96e-05,9.56
223,6.9236,,1.96e-05,9.66
224,6.8849,,1.96e-05,9.65
225,6.9346,,1.96e-05,9.65
226,6.8783,,1.96e-05,9.63
227,6.9632,,1.96e-05,9.69
228,6.8142,,1.96e-05,9.66
229,7.0117,,1.96e-05,9.65
230,6.9698,,1.96e-05,9.59
231,6.7784,,1.96e-05,9.49
232,6.8631,,1.96e-05,9.66
233,6.9522,,1.96e-05,9.64
234,6.8158,,1.96e-05,9.77
235,6.961,,1.95e-05,9.66
236,7.0377,,1.95e-05,9.68
237,7.1882,,1.95e-05,9.62
238,6.8366,,1.95e-05,9.66
239,6.95,,1.95e-05,9.68
240,6.9349,,1.95e-05,9.73
241,6.8392,,1.95e-05,9.67
242,6.7501,,1.95e-05,9.73
243,6.8076,,1.95e-05,9.66
244,7.0191,,1.95e-05,9.65
245,6.9757,,1.95e-05,9.64
246,6.8264,,1.95e-05,9.58
247,6.7531,,1.95e-05,9.55
248,6.9751,,1.95e-05,9.68
249,6.931,,1.94e-05,9.63
250,6.7845,,1.94e-05,9.64
250,,6.7883,1.94e-05,
251,6.9616,,1.94e-05,9.61
252,6.8395,,1.94e-05,9.4
253,7.0368,,1.94e-05,9.36
254,6.7531,,1.94e-05,9.5
255,7.0418,,1.94e-05,9.31
256,6.9734,,1.94e-05,9.38
257,7.0117,,1.94e-05,9.38
258,6.9443,,1.94e-05,9.4
259,6.9347,,1.94e-05,9.28
260,6.8463,,1.94e-05,9.32
261,6.8303,,1.94e-05,9.28
262,6.9018,,1.93e-05,9.27
263,6.8319,,1.93e-05,9.16
264,6.9915,,1.93e-05,9.38
265,7.0125,,1.93e-05,9.34
266,6.8921,,1.93e-05,9.22
267,6.9049,,1.93e-05,9.14
268,6.8682,,1.93e-05,9.33
269,6.8677,,1.93e-05,9.23
270,6.8748,,1.93e-05,9.43
271,6.9417,,1.93e-05,9.26
272,6.7567,,1.93e-05,9.21
273,7.0595,,1.93e-05,9.14
274,6.9632,,1.92e-05,9.17
275,6.9363,,1.92e-05,9.32
276,6.6503,,1.92e-05,9.24
277,6.8649,,1.92e-05,9.39
278,6.8929,,1.92e-05,9.27
279,6.8149,,1.92e-05,9.16
280,6.9166,,1.92e-05,9.15
281,6.965,,1.92e-05,9.21
282,6.5123,,1.92e-05,9.21
283,6.7491,,1.92e-05,9.34
284,7.0073,,1.92e-05,9.27
285,6.6227,,1.92e-05,9.32
286,6.8832,,1.91e-05,9.3
287,6.7886,,1.91e-05,9.17
288,6.615,,1.91e-05,9.34
289,7.0772,,1.91e-05,9.27
290,6.8596,,1.91e-05,9.33
291,6.7626,,1.91e-05,9.28
292,6.7751,,1.91e-05,9.31
293,6.9858,,1.91e-05,9.29
294,6.9387,,1.91e-05,9.26
295,6.8212,,1.91e-05,9.22
296,6.953,,1.90e-05,9.33
297,6.7518,,1.90e-05,9.35
298,6.9988,,1.90e-05,9.23
299,6.7799,,1.90e-05,9.23
300,6.8005,,1.90e-05,9.16
301,6.8589,,1.90e-05,9.35
302,6.7544,,1.90e-05,9.19
303,6.9629,,1.90e-05,9.28
304,6.9011,,1.90e-05,9.3
305,6.8252,,1.90e-05,9.31
306,6.8926,,1.90e-05,9.27
307,6.8683,,1.89e-05,9.3
308,7.0354,,1.89e-05,9.28
309,7.0004,,1.89e-05,9.27
310,6.9071,,1.89e-05,9.28
311,6.8533,,1.89e-05,9.2
312,7.0523,,1.89e-05,9.32
313,7.0175,,1.89e-05,9.28
314,7.0557,,1.89e-05,9.4
315,6.8933,,1.89e-05,9.29
316,6.9381,,1.88e-05,9.28
317,6.8803,,1.88e-05,9.31
318,6.8688,,1.88e-05,9.24
319,6.8464,,1.88e-05,9.16
320,6.8883,,1.88e-05,9.35
321,6.8865,,1.88e-05,9.37
322,6.8926,,1.88e-05,9.2
323,6.7864,,1.88e-05,9.32
324,7.0115,,1.88e-05,9.3
325,6.8318,,1.88e-05,9.19
326,6.9844,,1.87e-05,9.17
327,6.7951,,1.87e-05,9.36
328,7.0675,,1.87e-05,9.66
329,6.8838,,1.87e-05,1020.46
330,6.7811,,1.87e-05,129.68
331,7.0371,,1.87e-05,28.43
332,6.8215,,1.87e-05,1028.55
333,6.88,,1.87e-05,1027.31
334,6.6765,,1.87e-05,26.28
335,6.91,,1.86e-05,13.51
336,6.8775,,1.86e-05,9.74
337,6.8701,,1.86e-05,9.25
338,6.7344,,1.86e-05,9.12
339,6.8504,,1.86e-05,9.13
340,6.7846,,1.86e-05,9.14
341,6.9915,,1.86e-05,9.28
342,6.8806,,1.86e-05,9.3
343,7.1292,,1.85e-05,9.14
344,6.8975,,1.85e-05,9.25
345,6.9291,,1.85e-05,9.14
346,6.9394,,1.85e-05,9.25
347,6.8902,,1.85e-05,9.28
348,6.9484,,1.85e-05,9.17
349,6.9064,,1.85e-05,9.13
350,6.7345,,1.85e-05,9.13
351,6.9312,,1.85e-05,9.14
352,6.8692,,1.84e-05,9.13
353,6.9219,,1.84e-05,9.16
354,6.7786,,1.84e-05,9.33
355,6.7669,,1.84e-05,9.22
356,6.9099,,1.84e-05,9.15
357,6.926,,1.84e-05,9.19
358,6.965,,1.84e-05,9.18
359,6.8018,,1.84e-05,9.12
360,6.8094,,1.83e-05,9.22
361,6.7771,,1.83e-05,9.13
362,7.0022,,1.83e-05,9.13
363,6.787,,1.83e-05,10.42
364,6.6877,,1.83e-05,9.29
365,6.9293,,1.83e-05,11.6
366,6.8496,,1.83e-05,9.85
367,6.9107,,1.83e-05,10.5
368,6.8685,,1.82e-05,10.27
369,7.0292,,1.82e-05,9.78
370,6.8083,,1.82e-05,9.64
371,6.9209,,1.82e-05,9.32
372,6.8533,,1.82e-05,9.34
373,7.0037,,1.82e-05,9.38
374,6.827,,1.82e-05,9.39
375,6.7607,,1.82e-05,9.27
376,6.8105,,1.81e-05,9.33
377,6.7865,,1.81e-05,10.2
378,7.0412,,1.81e-05,9.85
379,6.706,,1.81e-05,10.3
380,6.7607,,1.81e-05,11.12
381,6.8832,,1.81e-05,9.9
382,6.8657,,1.81e-05,9.49
383,6.8291,,1.81e-05,10.59
384,7.0154,,1.80e-05,9.86
385,6.8261,,1.80e-05,11.88
386,6.8469,,1.80e-05,9.83
387,6.7753,,1.80e-05,10.24
388,6.9074,,1.80e-05,9.58
389,6.9204,,1.80e-05,9.49
390,6.695,,1.80e-05,9.54
391,6.8031,,1.79e-05,10.3
392,6.9242,,1.79e-05,10.06
393,6.9396,,1.79e-05,10.03
394,7.0168,,1.79e-05,10.31
395,6.7889,,1.79e-05,9.65
396,6.7473,,1.79e-05,10.15
397,6.6399,,1.79e-05,10.12
398,6.6809,,1.78e-05,10.13
399,6.8794,,1.78e-05,10.1
400,6.9311,,1.78e-05,10.64
