step,train_loss,val_loss,lr,sec_per_step
453,4.6441,,9.64e-05,1.13
454,4.4894,,9.64e-05,1.11
455,3.9516,,9.63e-05,1.12
456,4.6641,,9.63e-05,1.13
457,4.4547,,9.63e-05,1.13
458,4.5413,,9.63e-05,1.16
459,4.5326,,9.63e-05,1.13
460,4.8151,,9.62e-05,1.16
461,4.5456,,9.62e-05,1.1
462,4.3875,,9.62e-05,1.14
463,4.5549,,9.62e-05,1.17
464,4.5556,,9.62e-05,1.14
465,4.3999,,9.61e-05,1.13
466,4.6151,,9.61e-05,1.14
467,4.8743,,9.61e-05,1.14
468,4.7224,,9.61e-05,1.18
469,4.6129,,9.61e-05,1.1
470,4.442,,9.60e-05,1.11
471,4.3463,,9.60e-05,1.12
472,4.7901,,9.60e-05,1.11
473,4.4832,,9.60e-05,1.13
474,4.278,,9.60e-05,1.11
475,4.4813,,9.59e-05,1.11
476,4.6277,,9.59e-05,1.14
477,5.0283,,9.59e-05,1.11
478,4.6458,,9.59e-05,1.13
479,4.7758,,9.58e-05,1.1
480,4.8684,,9.58e-05,1.11
481,4.4456,,9.58e-05,1.11
482,4.5182,,9.58e-05,1.11
483,4.3181,,9.58e-05,1.13
484,4.5288,,9.57e-05,1.17
485,4.8998,,9.57e-05,1.09
486,4.7893,,9.57e-05,1.12
487,4.3945,,9.57e-05,1.13
488,4.6754,,9.56e-05,1.12
489,4.881,,9.56e-05,1.1
490,4.6521,,9.56e-05,1.12
491,4.1202,,9.56e-05,1.11
492,4.5544,,9.56e-05,1.12
493,4.4163,,9.55e-05,1.13
494,4.9378,,9.55e-05,1.1
495,4.4852,,9.55e-05,1.14
496,4.8593,,9.55e-05,1.11
497,4.5892,,9.54e-05,1.1
498,4.6346,,9.54e-05,1.13
499,4.6692,,9.54e-05,1.11
500,4.4616,,9.54e-05,1.14
500,,4.5702,9.54e-05,
501,4.742,,9.54e-05,1.01
502,5.0717,,9.53e-05,1.09
503,4.5456,,9.53e-05,1.11
504,4.6096,,9.53e-05,1.12
505,4.6745,,9.53e-05,1.15
506,4.7848,,9.52e-05,1.12
507,4.6383,,9.52e-05,1.11
508,4.4887,,9.52e-05,1.12
509,4.3311,,9.52e-05,1.17
510,4.6991,,9.51e-05,1.1
511,4.7739,,9.51e-05,1.14
512,4.7924,,9.51e-05,1.14
513,4.5059,,9.51e-05,1.15
514,4.4724,,9.51e-05,1.17
515,4.7955,,9.50e-05,1.11
516,4.6199,,9.50e-05,1.13
517,4.719,,9.50e-05,1.15
518,4.4229,,9.50e-05,1.16
519,4.6292,,9.49e-05,1.13
520,4.3841,,9.49e-05,1.14
521,4.6515,,9.49e-05,1.13
522,4.7639,,9.49e-05,1.14
523,4.5646,,9.48e-05,1.15
524,4.5228,,9.48e-05,1.15
525,4.8314,,9.48e-05,1.14
526,4.6931,,9.48e-05,1.14
527,4.5567,,9.47e-05,1.15
528,4.7798,,9.47e-05,1.16
529,4.4372,,9.47e-05,1.14
530,4.7652,,9.47e-05,1.14
531,4.5385,,9.46e-05,1.14
532,4.7112,,9.46e-05,1.16
533,4.8053,,9.46e-05,1.15
534,4.4915,,9.46e-05,1.14
535,4.7841,,9.46e-05,1.14
536,4.721,,9.45e-05,1.14
537,4.7641,,9.45e-05,1.13
538,4.458,,9.45e-05,1.17
539,4.3839,,9.45e-05,1.14
540,4.7631,,9.44e-05,1.14
541,4.5947,,9.44e-05,1.15
542,4.5788,,9.44e-05,1.15
543,4.6994,,9.44e-05,1.17
544,4.4754,,9.43e-05,1.17
545,4.6039,,9.43e-05,1.11
546,4.7291,,9.43e-05,1.12
547,4.6149,,9.43e-05,1.09
548,4.3406,,9.42e-05,1.13
549,4.5414,,9.42e-05,1.12
550,4.6967,,9.42e-05,1.12
551,4.5567,,9.42e-05,1.12
552,4.6608,,9.41e-05,1.12
553,4.5866,,9.41e-05,1.17
554,4.8619,,9.41e-05,1.12
555,4.8506,,9.40e-05,1.12
556,4.5601,,9.40e-05,1.09
557,4.5791,,9.40e-05,1.13
558,4.5646,,9.40e-05,1.14
559,4.4238,,9.39e-05,1.12
560,4.6873,,9.39e-05,1.14
561,4.8272,,9.39e-05,1.13
562,4.6713,,9.39e-05,1.11
563,4.615,,9.38e-05,1.13
564,4.7089,,9.38e-05,1.14
565,4.0291,,9.38e-05,1.15
566,4.4714,,9.38e-05,1.15
567,4.4329,,9.37e-05,1.16
568,4.4626,,9.37e-05,1.18
569,4.8937,,9.37e-05,1.15
570,4.6397,,9.37e-05,1.14
571,4.5381,,9.36e-05,1.15
572,4.3302,,9.36e-05,1.18
573,4.5352,,9.36e-05,1.25
574,4.6042,,9.36e-05,1.26
575,4.5411,,9.35e-05,1.26
576,4.5952,,9.35e-05,1.15
577,4.9949,,9.35e-05,1.35
578,4.6939,,9.34e-05,1.18
579,4.7656,,9.34e-05,1.14
580,4.3509,,9.34e-05,1.19
581,4.3964,,9.34e-05,1.14
582,4.8515,,9.33e-05,1.14
583,4.5296,,9.33e-05,1.14
584,4.7887,,9.33e-05,1.19
585,4.6531,,9.33e-05,1.35
586,4.5709,,9.32e-05,1.08
587,4.3109,,9.32e-05,1.14
588,4.6377,,9.32e-05,2.33
589,4.6745,,9.31e-05,1032.35
590,4.1244,,9.31e-05,0.99
591,4.4068,,9.31e-05,0.97
592,4.2336,,9.31e-05,0.95
593,4.7925,,9.30e-05,0.99
594,4.3521,,9.30e-05,48.3
595,4.5339,,9.30e-05,0.97
596,4.6639,,9.30e-05,0.98
597,4.4701,,9.29e-05,0.98
598,4.5838,,9.29e-05,7.09
599,4.4835,,9.29e-05,2.59
600,4.4096,,9.28e-05,408.09
601,4.4691,,9.28e-05,0.97
602,4.6392,,9.28e-05,0.97
603,4.561,,9.28e-05,1.02
604,4.6019,,9.27e-05,7.1
605,4.48,,9.27e-05,0.97
606,4.3254,,9.27e-05,4.17
607,4.3796,,9.26e-05,0.97
608,4.7094,,9.26e-05,1.01
609,4.6367,,9.26e-05,0.98
610,4.7234,,9.26e-05,7.16
611,4.7205,,9.25e-05,9.01
