step,train_loss,val_loss,lr,sec_per_step
323,4.6226,,9.39e-05,1.02
324,4.8422,,9.38e-05,1.04
325,4.337,,9.38e-05,1.03
326,4.7462,,9.37e-05,1.0
327,4.735,,9.37e-05,1.01
328,4.9421,,9.36e-05,1.02
329,4.4645,,9.35e-05,1.01
330,4.2992,,9.35e-05,1.01
331,4.6932,,9.34e-05,1.01
332,4.5348,,9.34e-05,1.01
333,4.5595,,9.33e-05,1.02
334,4.4943,,9.33e-05,1.01
335,4.5258,,9.32e-05,1.03
336,4.5398,,9.32e-05,1.02
337,4.613,,9.31e-05,1.03
338,4.6575,,9.30e-05,1.01
339,4.6598,,9.30e-05,1.01
340,4.2423,,9.29e-05,1.01
341,4.6705,,9.29e-05,1.02
342,4.2305,,9.28e-05,1.03
343,4.8542,,9.27e-05,1.01
344,4.6567,,9.27e-05,1.01
345,4.5415,,9.26e-05,1.01
346,4.5237,,9.26e-05,1.03
347,4.5084,,9.25e-05,1.03
348,4.5981,,9.25e-05,1.01
349,4.6101,,9.24e-05,1.01
350,4.4132,,9.23e-05,1.01
351,4.2973,,9.23e-05,1.03
352,4.6205,,9.22e-05,1.01
353,4.5986,,9.22e-05,1.02
354,4.7517,,9.21e-05,1.02
355,4.3813,,9.20e-05,1.03
356,4.3431,,9.20e-05,1.02
357,4.6692,,9.19e-05,1.0
358,4.6045,,9.19e-05,1.02
359,4.3053,,9.18e-05,1.04
360,4.3225,,9.17e-05,1.03
361,4.4898,,9.17e-05,1.03
362,4.7092,,9.16e-05,1.02
363,4.3191,,9.15e-05,1.03
364,4.4061,,9.15e-05,1.04
365,4.424,,9.14e-05,1.03
366,4.4649,,9.14e-05,1.0
367,4.5926,,9.13e-05,1.01
368,4.4527,,9.12e-05,1.04
369,4.5907,,9.12e-05,1.03
370,4.0158,,9.11e-05,1.04
371,4.4021,,9.10e-05,1.01
372,4.5341,,9.10e-05,1.01
373,4.7537,,9.09e-05,1.02
374,4.4156,,9.08e-05,1.01
375,4.4905,,9.08e-05,1.03
376,4.7917,,9.07e-05,1.03
377,4.5617,,9.06e-05,1.0
378,4.607,,9.06e-05,1.02
379,4.4022,,9.05e-05,1.01
380,4.2392,,9.05e-05,1.03
381,4.3212,,9.04e-05,1.01
382,4.6142,,9.03e-05,1.01
383,4.6463,,9.03e-05,1.04
384,4.7603,,9.02e-05,1.02
385,4.7043,,9.01e-05,1.0
386,4.4385,,9.01e-05,1.01
387,4.4739,,9.00e-05,1.01
388,4.3834,,8.99e-05,1.02
389,4.6372,,8.98e-05,1.01
390,4.175,,8.98e-05,1.01
391,4.4197,,8.97e-05,1.01
392,4.6703,,8.96e-05,1.03
393,4.6438,,8.96e-05,1.03
394,4.7464,,8.95e-05,1.02
395,4.4175,,8.94e-05,1.0
396,4.5383,,8.94e-05,1.01
397,4.5799,,8.93e-05,1.01
398,4.5162,,8.92e-05,1.02
399,4.4673,,8.92e-05,1.01
400,4.6949,,8.91e-05,1.03
401,4.3732,,8.90e-05,1.01
402,4.5136,,8.90e-05,1.01
403,4.4579,,8.89e-05,1.02
404,4.5317,,8.88e-05,1.05
405,4.6762,,8.87e-05,1.02
406,4.4807,,8.87e-05,1.03
407,4.6787,,8.86e-05,1.02
408,4.2698,,8.85e-05,1.0
409,4.5548,,8.85e-05,0.99
410,4.5818,,8.84e-05,1.03
411,4.5168,,8.83e-05,1.02
412,4.5506,,8.82e-05,1.02
413,4.4422,,8.82e-05,1.01
414,4.4868,,8.81e-05,1.0
415,4.2602,,8.80e-05,1.0
416,4.5642,,8.79e-05,1.01
417,4.4255,,8.79e-05,1.01
418,4.6103,,8.78e-05,1.04
419,4.4489,,8.77e-05,1.01
420,4.9569,,8.77e-05,1.01
421,4.2683,,8.76e-05,1.01
422,4.847,,8.75e-05,1.01
423,4.3476,,8.74e-05,1.02
424,4.5578,,8.74e-05,1.01
425,4.3338,,8.73e-05,1.04
426,4.4797,,8.72e-05,1.03
427,4.5695,,8.71e-05,1.02
428,4.3571,,8.71e-05,1.01
429,4.2432,,8.70e-05,1.02
430,4.4906,,8.69e-05,1.0
431,4.5532,,8.68e-05,1.0
432,4.5854,,8.68e-05,1.0
433,4.4836,,8.67e-05,1.02
434,4.4216,,8.66e-05,1.03
435,4.3976,,8.65e-05,1.02
436,4.5373,,8.64e-05,1.01
437,4.2939,,8.64e-05,1.02
438,4.4095,,8.63e-05,1.03
439,4.6464,,8.62e-05,1.02
440,4.526,,8.61e-05,1.02
441,4.5759,,8.61e-05,1.01
442,4.5422,,8.60e-05,1.0
443,4.4432,,8.59e-05,1.03
444,4.7992,,8.58e-05,1.02
445,4.518,,8.57e-05,1.02
446,4.4565,,8.57e-05,1.02
447,4.5432,,8.56e-05,1.0
448,4.3418,,8.55e-05,1.02
449,4.7204,,8.54e-05,1.04
450,4.4353,,8.54e-05,1.02
451,4.5562,,8.53e-05,1.02
452,4.4694,,8.52e-05,1.02
453,4.5416,,8.51e-05,1.01
454,4.397,,8.50e-05,1.0
455,3.7725,,8.50e-05,1.0
456,4.6573,,8.49e-05,1.01
457,4.5537,,8.48e-05,1.0
458,4.577,,8.47e-05,1.02
459,4.403,,8.46e-05,1.0
460,4.5182,,8.46e-05,1.0
461,4.5978,,8.45e-05,1.0
462,4.232,,8.44e-05,1.0
463,4.4059,,8.43e-05,1.01
464,4.3708,,8.42e-05,1.04
465,4.2651,,8.41e-05,1.0
466,4.604,,8.41e-05,1.0
467,4.7101,,8.40e-05,1.03
468,4.4705,,8.39e-05,1.01
469,4.4779,,8.38e-05,0.99
470,4.519,,8.37e-05,1.01
471,4.4768,,8.37e-05,1.03
472,4.604,,8.36e-05,1.0
473,4.4054,,8.35e-05,1.01
474,4.2554,,8.34e-05,1.0
475,4.5295,,8.33e-05,1.02
476,4.407,,8.32e-05,1.02
477,4.7061,,8.31e-05,1.06
478,4.4228,,8.31e-05,1.06
479,4.5918,,8.30e-05,1.04
480,4.7496,,8.29e-05,1.03
481,4.396,,8.28e-05,1.04
482,4.4454,,8.27e-05,1.02
483,4.3893,,8.26e-05,1.01
484,4.3291,,8.26e-05,1.02
485,4.7456,,8.25e-05,1.03
486,4.5874,,8.24e-05,1.02
487,4.5611,,8.23e-05,1.02
488,4.4434,,8.22e-05,1.04
489,4.693,,8.21e-05,1.02
490,4.4522,,8.20e-05,1.06
491,4.2555,,8.20e-05,1.07
492,4.3799,,8.19e-05,1.02
493,4.3709,,8.18e-05,1.01
494,4.6744,,8.17e-05,1.0
495,4.298,,8.16e-05,1.06
496,4.6863,,8.15e-05,0.99
497,4.4654,,8.14e-05,1.0
498,4.6855,,8.13e-05,1.01
499,4.6766,,8.13e-05,1.0
500,4.2013,,8.12e-05,1.02
500,,4.4113,8.12e-05,
501,4.533,,8.11e-05,14.95
502,4.9303,,8.10e-05,15.33
503,4.3932,,8.09e-05,10.83
504,4.6126,,8.08e-05,0.93
505,4.6205,,8.07e-05,160.3
506,4.5918,,8.06e-05,0.95
507,4.4883,,8.06e-05,0.94
508,4.5298,,8.05e-05,0.99
509,4.2985,,8.04e-05,2.3
510,4.6171,,8.03e-05,0.93
511,4.7273,,8.02e-05,1023.6
512,4.5228,,8.01e-05,0.94
513,4.6627,,8.00e-05,1.01
514,4.7012,,7.99e-05,0.93
515,4.6052,,7.98e-05,0.94
516,4.5096,,7.98e-05,910.96
517,4.5957,,7.97e-05,0.95
518,4.7522,,7.96e-05,0.94
519,4.5552,,7.95e-05,0.93
520,4.3701,,7.94e-05,0.93
521,4.4924,,7.93e-05,966.91
522,4.6808,,7.92e-05,0.94
523,4.4568,,7.91e-05,0.95
524,4.4613,,7.90e-05,0.95
525,4.7226,,7.89e-05,0.94
526,4.4637,,7.88e-05,0.94
527,4.5198,,7.88e-05,929.93
528,4.5211,,7.87e-05,0.95
529,4.4119,,7.86e-05,0.92
530,4.4612,,7.85e-05,0.93
531,4.2905,,7.84e-05,0.95
532,4.4028,,7.83e-05,8.77
533,4.7078,,7.82e-05,0.95
534,4.3875,,7.81e-05,0.93
535,4.5899,,7.80e-05,0.93
536,4.5058,,7.79e-05,2.21
537,4.5789,,7.78e-05,0.95
538,4.4376,,7.77e-05,6.17
539,4.3813,,7.76e-05,0.93
540,4.5497,,7.75e-05,0.93
541,4.8185,,7.75e-05,0.93
542,4.4289,,7.74e-05,1.11
543,4.4974,,7.73e-05,6.69
544,4.4731,,7.72e-05,0.93
545,4.3526,,7.71e-05,1.68
546,4.5501,,7.70e-05,0.94
547,4.5077,,7.69e-05,0.94
548,4.3354,,7.68e-05,0.99
549,4.4366,,7.67e-05,2.16
550,4.7129,,7.66e-05,0.93
551,4.3339,,7.65e-05,6.46
552,4.5084,,7.64e-05,0.95
553,4.6178,,7.63e-05,0.95
554,4.6771,,7.62e-05,0.97
555,4.7441,,7.61e-05,2.16
556,4.4533,,7.60e-05,0.95
557,4.3707,,7.59e-05,6.53
558,4.5694,,7.58e-05,0.96
559,4.3861,,7.57e-05,0.95
560,4.4563,,7.56e-05,0.98
561,4.7798,,7.55e-05,6.81
562,4.5112,,7.55e-05,0.93
563,4.4813,,7.54e-05,1.93
564,4.4844,,7.53e-05,0.95
565,3.9508,,7.52e-05,0.95
566,4.2629,,7.51e-05,0.96
567,4.7605,,7.50e-05,6.59
568,4.5039,,7.49e-05,9.76
569,4.7374,,7.48e-05,0.93
570,4.5519,,7.47e-05,5.73
571,4.4198,,7.46e-05,0.95
572,4.1976,,7.45e-05,0.95
573,4.4212,,7.44e-05,0.98
574,4.5081,,7.43e-05,7.45
575,4.4362,,7.42e-05,11.43
576,4.4393,,7.41e-05,0.94
577,4.7485,,7.40e-05,32.87
578,4.4196,,7.39e-05,0.96
579,4.5984,,7.38e-05,0.97
580,4.2778,,7.37e-05,5.82
581,4.2319,,7.36e-05,14.84
582,4.6577,,7.35e-05,5.43
583,4.4286,,7.34e-05,3.75
584,4.537,,7.33e-05,0.92
585,4.5849,,7.32e-05,0.95
586,4.5039,,7.31e-05,3.36
587,4.3117,,7.30e-05,589.78
588,4.5012,,7.29e-05,0.94
589,4.5776,,7.28e-05,0.95
590,3.9709,,7.27e-05,4.46
591,4.3721,,7.26e-05,3.49
592,4.2083,,7.25e-05,146.5
593,4.6071,,7.24e-05,0.96
594,4.1992,,7.23e-05,0.95
595,4.3324,,7.22e-05,0.95
596,4.5398,,7.21e-05,1.77
597,4.3522,,7.20e-05,1.54
598,4.4072,,7.19e-05,1032.44
599,4.4696,,7.18e-05,0.94
600,4.3025,,7.17e-05,0.93
601,4.4655,,7.16e-05,0.93
602,4.4707,,7.15e-05,0.93
603,4.6353,,7.14e-05,0.95
604,4.4884,,7.13e-05,316.99
605,4.3086,,7.12e-05,0.94
606,4.4071,,7.11e-05,0.95
607,4.207,,7.10e-05,0.99
608,4.5061,,7.09e-05,6.13
609,4.4093,,7.08e-05,0.95
610,4.6855,,7.07e-05,886.85
611,4.4871,,7.06e-05,0.93
612,4.4215,,7.05e-05,0.93
613,4.6978,,7.04e-05,1.0
614,4.4857,,7.03e-05,9.24
615,4.402,,7.02e-05,8.92
616,4.2668,,7.01e-05,0.93
617,4.563,,7.00e-05,0.93
618,4.5817,,6.99e-05,0.95
619,4.217,,6.98e-05,0.95
620,4.1435,,6.97e-05,0.95
621,4.6088,,6.95e-05,0.94
622,4.4943,,6.94e-05,0.94
623,4.3306,,6.93e-05,0.95
624,4.6324,,6.92e-05,11.15
625,4.2473,,6.91e-05,0.94
626,4.5509,,6.90e-05,0.95
627,4.5714,,6.89e-05,0.98
628,4.2344,,6.88e-05,2.15
629,4.5693,,6.87e-05,0.93
630,4.5577,,6.86e-05,6.49
631,4.4706,,6.85e-05,0.94
632,4.1191,,6.84e-05,0.95
633,4.375,,6.83e-05,0.99
634,4.5978,,6.82e-05,9.17
635,4.2565,,6.81e-05,12.74
636,4.1184,,6.80e-05,0.93
637,4.4479,,6.79e-05,1032.86
638,4.2947,,6.78e-05,0.95
639,4.6772,,6.77e-05,0.94
640,4.6792,,6.76e-05,0.95
641,4.5597,,6.75e-05,0.94
642,4.699,,6.74e-05,0.95
643,4.2744,,6.73e-05,959.63
644,4.5019,,6.71e-05,0.94
645,4.4148,,6.70e-05,0.94
646,4.5717,,6.69e-05,0.93
647,4.5847,,6.68e-05,0.94
648,4.6792,,6.67e-05,234.41
649,4.5426,,6.66e-05,0.93
650,4.4184,,6.65e-05,0.95
651,4.6788,,6.64e-05,0.94
652,4.6708,,6.63e-05,1.22
653,4.6027,,6.62e-05,2.13
654,4.5354,,6.61e-05,0.95
655,4.5963,,6.60e-05,0.94
656,4.7965,,6.59e-05,12.21
657,4.3963,,6.58e-05,0.95
658,4.6122,,6.57e-05,0.95
659,4.533,,6.56e-05,0.97
660,4.4281,,6.55e-05,6.94
661,4.5396,,6.53e-05,3.29
662,4.6054,,6.52e-05,186.32
663,4.1303,,6.51e-05,0.95
664,4.4597,,6.50e-05,0.94
665,4.5225,,6.49e-05,0.94
666,4.4861,,6.48e-05,1.26
667,4.6864,,6.47e-05,2.93
668,4.2231,,6.46e-05,932.41
669,4.4778,,6.45e-05,0.89
670,4.5065,,6.44e-05,0.94
671,4.4433,,6.43e-05,0.95
672,4.5021,,6.42e-05,0.96
673,4.4315,,6.41e-05,0.95
674,4.6478,,6.39e-05,183.58
675,4.5716,,6.38e-05,0.94
676,4.5364,,6.37e-05,0.93
677,4.2739,,6.36e-05,0.96
678,4.4147,,6.35e-05,6.08
679,4.5113,,6.34e-05,0.94
680,4.6637,,6.33e-05,903.15
681,4.5531,,6.32e-05,0.94
682,4.8044,,6.31e-05,0.93
683,4.382,,6.30e-05,0.95
684,4.4586,,6.29e-05,0.94
685,4.8213,,6.28e-05,0.94
686,4.6648,,6.27e-05,50.09
687,4.6984,,6.25e-05,0.93
688,4.6708,,6.24e-05,0.95
689,4.6791,,6.23e-05,0.95
690,4.5729,,6.22e-05,5.35
691,4.3748,,6.21e-05,1.67
692,4.6041,,6.20e-05,1038.15
693,4.387,,6.19e-05,0.96
694,4.4435,,6.18e-05,0.94
695,4.6689,,6.17e-05,0.94
696,4.6939,,6.16e-05,0.95
697,4.2905,,6.15e-05,0.95
698,4.574,,6.13e-05,454.57
699,4.2553,,6.12e-05,0.95
700,4.4131,,6.11e-05,0.95
701,4.4147,,6.10e-05,0.98
702,4.5065,,6.09e-05,7.62
703,4.3771,,6.08e-05,14.25
704,4.4745,,6.07e-05,2.37
705,4.4919,,6.06e-05,979.6
706,4.2666,,6.05e-05,0.96
707,4.5302,,6.04e-05,0.94
708,4.5857,,6.02e-05,0.96
709,4.3939,,6.01e-05,0.95
710,4.3141,,6.00e-05,0.95
711,4.6226,,5.99e-05,173.46
712,4.468,,5.98e-05,0.95
713,4.7562,,5.97e-05,0.96
714,4.4911,,5.96e-05,0.95
715,4.6712,,5.95e-05,5.32
716,4.5529,,5.94e-05,5.63
717,4.3681,,5.93e-05,0.95
718,4.6474,,5.91e-05,945.7
719,4.4602,,5.90e-05,0.94
720,4.7335,,5.89e-05,0.95
721,4.7606,,5.88e-05,0.95
