step,train_loss,val_loss,lr,sec_per_step,mps_driver_gb
300,4.1088,,4.94e-05,10.66,11.22
301,4.5702,,4.94e-05,10.65,11.22
302,4.3187,,4.94e-05,10.54,11.22
303,4.4504,,4.94e-05,10.57,11.22
304,3.7847,,4.94e-05,10.56,11.22
305,4.048,,4.94e-05,10.67,11.22
306,4.0116,,4.94e-05,10.82,11.22
307,4.4284,,4.94e-05,10.62,11.22
308,3.6804,,4.94e-05,10.54,11.22
309,3.4666,,4.94e-05,10.54,11.22
310,3.6191,,4.94e-05,10.46,11.22
311,3.7498,,4.93e-05,10.63,11.22
312,4.3593,,4.93e-05,10.72,11.22
313,3.9201,,4.93e-05,10.44,11.22
314,4.4248,,4.93e-05,10.4,11.22
315,4.4054,,4.93e-05,10.45,11.23
316,3.4486,,4.93e-05,10.42,11.23
317,3.8622,,4.93e-05,10.73,11.25
318,3.5851,,4.93e-05,10.74,11.25
319,4.2704,,4.93e-05,10.59,11.25
320,4.4914,,4.93e-05,10.56,11.25
321,3.8371,,4.93e-05,10.59,11.25
322,4.4792,,4.93e-05,10.57,11.25
323,4.417,,4.93e-05,10.79,11.25
324,4.1261,,4.93e-05,10.68,11.25
325,4.542,,4.93e-05,10.54,11.25
326,3.1965,,4.93e-05,10.54,11.25
327,4.4924,,4.92e-05,10.54,11.25
328,3.9672,,4.92e-05,10.55,11.25
329,3.797,,4.92e-05,10.72,11.25
330,4.4359,,4.92e-05,10.47,11.25
331,4.6824,,4.92e-05,10.48,11.25
332,4.1618,,4.92e-05,10.49,11.25
333,4.1897,,4.92e-05,10.46,11.25
334,4.3353,,4.92e-05,10.6,11.25
335,4.4539,,4.92e-05,10.77,11.25
336,3.4414,,4.92e-05,10.59,11.25
337,3.6468,,4.92e-05,10.58,11.25
338,3.6681,,4.92e-05,10.59,11.25
339,4.5157,,4.92e-05,10.59,11.25
340,4.5424,,4.92e-05,10.77,11.25
341,3.4775,,4.92e-05,10.66,11.25
342,4.0364,,4.91e-05,10.54,11.25
343,4.2384,,4.91e-05,10.51,11.25
344,4.045,,4.91e-05,10.38,11.25
345,3.2994,,4.91e-05,10.39,11.25
346,4.2151,,4.91e-05,10.59,11.25
347,3.7844,,4.91e-05,10.44,11.25
348,4.4458,,4.91e-05,10.41,11.25
349,4.3603,,4.91e-05,10.37,11.25
350,3.4654,,4.91e-05,10.37,11.25
351,4.4762,,4.91e-05,10.4,11.25
352,4.4278,,4.91e-05,10.49,11.25
353,4.3176,,4.91e-05,10.44,11.25
354,4.2092,,4.91e-05,10.34,11.25
355,4.2062,,4.91e-05,10.48,11.25
356,3.8137,,4.90e-05,10.51,11.25
357,4.3292,,4.90e-05,10.54,11.25
358,4.4512,,4.90e-05,10.71,11.25
359,3.663,,4.90e-05,10.69,11.25
360,3.7971,,4.90e-05,10.5,11.25
361,3.3584,,4.90e-05,10.51,11.25
362,4.0718,,4.90e-05,10.5,11.25
363,4.5018,,4.90e-05,10.51,11.25
364,4.5177,,4.90e-05,10.59,11.25
365,4.5352,,4.90e-05,10.61,11.25
366,4.1791,,4.90e-05,10.43,11.25
367,3.8086,,4.90e-05,10.4,11.25
368,4.4566,,4.90e-05,10.37,11.25
369,4.0719,,4.89e-05,10.49,11.25
370,3.8072,,4.89e-05,10.61,11.25
371,3.9903,,4.89e-05,10.41,11.25
372,4.5494,,4.89e-05,10.37,11.25
373,4.53,,4.89e-05,10.41,11.25
374,4.0396,,4.89e-05,10.39,11.25
375,4.0954,,4.89e-05,10.64,11.25
376,3.5541,,4.89e-05,10.76,11.25
377,4.4438,,4.89e-05,10.56,11.25
378,3.2008,,4.89e-05,10.51,11.25
379,3.8849,,4.89e-05,10.57,11.25
380,3.9997,,4.89e-05,10.93,11.25
381,4.3977,,4.89e-05,11.35,11.25
382,4.3072,,4.88e-05,10.82,11.25
383,4.3806,,4.88e-05,10.9,11.25
384,4.1794,,4.88e-05,10.83,11.25
385,3.686,,4.88e-05,10.78,11.25
386,4.0671,,4.88e-05,10.91,11.25
387,4.3311,,4.88e-05,11.75,11.25
388,4.347,,4.88e-05,10.86,11.25
389,4.0924,,4.88e-05,10.62,11.25
390,3.7119,,4.88e-05,11.14,11.25
391,3.4165,,4.88e-05,10.57,11.25
392,3.6,,4.88e-05,10.71,11.25
393,3.7933,,4.88e-05,10.7,11.25
394,4.5171,,4.87e-05,10.56,11.25
395,3.7301,,4.87e-05,10.54,11.25
396,4.2174,,4.87e-05,11.85,11.25
397,4.2168,,4.87e-05,11.34,11.25
398,4.5995,,4.87e-05,11.12,11.25
399,4.6687,,4.87e-05,11.4,11.25
400,4.1376,,4.87e-05,11.22,11.25
401,4.7928,,4.87e-05,11.79,11.25
402,3.8072,,4.87e-05,11.31,11.25
403,4.4942,,4.87e-05,11.52,11.25
404,4.1279,,4.87e-05,11.39,11.25
405,4.3456,,4.86e-05,11.46,11.25
406,3.9698,,4.86e-05,11.31,11.25
407,4.3408,,4.86e-05,12.08,11.25
408,4.0716,,4.86e-05,10.73,11.25
409,3.418,,4.86e-05,10.79,11.25
410,4.3623,,4.86e-05,10.78,11.25
411,4.0737,,4.86e-05,10.69,11.25
412,4.3279,,4.86e-05,11.31,11.25
413,4.1142,,4.86e-05,10.94,11.25
414,4.3469,,4.86e-05,11.2,11.25
415,4.3508,,4.86e-05,10.8,11.25
416,4.2739,,4.85e-05,10.81,11.25
417,3.2301,,4.85e-05,10.75,11.25
418,4.3319,,4.85e-05,11.14,11.25
419,4.5065,,4.85e-05,11.19,11.25
420,4.2554,,4.85e-05,11.2,11.25
421,4.04,,4.85e-05,11.25,11.25
422,4.5691,,4.85e-05,11.13,11.25
423,4.1493,,4.85e-05,11.33,11.25
424,3.4288,,4.85e-05,11.14,11.25
425,4.4492,,4.85e-05,11.14,11.25
426,3.0268,,4.85e-05,11.27,11.25
427,4.1637,,4.84e-05,11.15,11.25
428,3.8827,,4.84e-05,11.14,11.25
429,4.4027,,4.84e-05,11.33,11.25
430,4.078,,4.84e-05,11.15,11.25
431,4.3524,,4.84e-05,11.4,11.25
432,4.0811,,4.84e-05,11.17,11.25
433,4.2876,,4.84e-05,11.41,11.25
434,4.3018,,4.84e-05,11.32,11.25
435,4.2683,,4.84e-05,11.39,11.25
436,2.7928,,4.84e-05,11.45,11.25
437,3.5687,,4.84e-05,11.45,11.25
438,4.2803,,4.83e-05,11.11,11.25
439,3.65,,4.83e-05,10.75,11.25
440,4.1447,,4.83e-05,10.61,11.25
441,4.3812,,4.83e-05,10.62,11.25
442,3.9143,,4.83e-05,10.95,11.25
443,3.8822,,4.83e-05,10.75,11.25
444,4.3508,,4.83e-05,10.69,11.25
445,4.3373,,4.83e-05,10.75,11.25
446,4.0401,,4.83e-05,10.66,11.25
447,4.4343,,4.83e-05,10.91,11.25
448,3.7936,,4.82e-05,11.89,11.25
449,4.1188,,4.82e-05,11.51,11.25
450,4.6262,,4.82e-05,11.31,11.25
451,4.0236,,4.82e-05,11.25,11.25
452,4.0096,,4.82e-05,10.95,11.25
453,3.2588,,4.82e-05,11.09,11.25
454,4.3107,,4.82e-05,10.9,11.25
455,4.4393,,4.82e-05,10.74,11.25
456,4.1917,,4.82e-05,10.83,11.25
457,4.521,,4.82e-05,10.89,11.25
458,4.5897,,4.81e-05,11.0,11.25
459,4.3738,,4.81e-05,10.95,11.25
460,3.8665,,4.81e-05,10.8,11.25
461,3.3591,,4.81e-05,11.22,11.25
462,4.3088,,4.81e-05,10.84,11.25
463,4.363,,4.81e-05,10.77,11.25
464,4.0246,,4.81e-05,10.78,11.25
465,4.5223,,4.81e-05,10.83,11.25
466,3.8706,,4.81e-05,10.95,11.25
467,4.3177,,4.81e-05,10.9,11.25
468,4.5192,,4.80e-05,10.95,11.25
469,4.0811,,4.80e-05,10.85,11.25
470,3.106,,4.80e-05,10.88,11.25
471,3.5656,,4.80e-05,10.86,11.25
472,3.7224,,4.80e-05,10.77,11.25
473,3.8884,,4.80e-05,10.72,11.25
474,3.7564,,4.80e-05,10.7,11.25
475,3.4535,,4.80e-05,10.78,11.25
476,3.8038,,4.80e-05,10.69,11.25
477,4.2523,,4.79e-05,10.72,11.25
478,3.8388,,4.79e-05,10.68,11.25
479,4.1561,,4.79e-05,10.69,11.25
480,3.6134,,4.79e-05,10.69,11.25
481,4.1861,,4.79e-05,10.71,11.25
482,3.982,,4.79e-05,10.67,11.25
483,4.0423,,4.79e-05,10.85,11.25
484,4.3921,,4.79e-05,10.87,11.25
485,4.1005,,4.79e-05,10.85,11.25
486,4.4145,,4.78e-05,10.88,11.25
487,4.517,,4.78e-05,10.92,11.25
488,4.7041,,4.78e-05,10.88,11.25
489,3.5096,,4.78e-05,11.07,11.25
490,3.6637,,4.78e-05,11.19,11.25
491,4.1976,,4.78e-05,10.92,11.25
492,3.9417,,4.78e-05,10.81,11.25
493,4.161,,4.78e-05,10.79,11.25
494,3.87,,4.78e-05,10.76,11.25
495,4.4897,,4.77e-05,11.0,11.25
496,4.1873,,4.77e-05,10.92,11.25
497,4.1347,,4.77e-05,10.84,11.25
498,3.8127,,4.77e-05,10.85,11.25
499,3.8732,,4.77e-05,10.85,11.25
500,4.4864,,4.77e-05,10.86,11.25
500,,4.3999,4.77e-05,,9.19
501,4.3691,,4.77e-05,10.9,11.25
502,3.6513,,4.77e-05,10.66,11.25
503,4.2378,,4.77e-05,10.68,11.25
504,3.8754,,4.76e-05,10.6,11.25
505,3.6983,,4.76e-05,10.64,11.25
506,3.6447,,4.76e-05,10.81,11.25
507,4.2479,,4.76e-05,10.66,11.25
508,4.2757,,4.76e-05,10.56,11.25
509,4.4548,,4.76e-05,10.59,11.25
510,4.2418,,4.76e-05,10.56,11.25
511,4.5891,,4.76e-05,10.69,11.25
512,4.1505,,4.76e-05,10.87,11.25
513,3.9758,,4.75e-05,10.98,11.25
514,3.3655,,4.75e-05,11.02,11.25
515,4.0452,,4.75e-05,10.84,11.25
516,4.3774,,4.75e-05,10.85,11.25
517,4.1233,,4.75e-05,10.88,11.25
518,3.7528,,4.75e-05,11.17,11.25
519,4.3668,,4.75e-05,11.28,11.25
520,3.9254,,4.75e-05,11.12,11.25
521,3.8864,,4.74e-05,11.05,11.25
522,3.8473,,4.74e-05,11.06,11.25
523,4.284,,4.74e-05,11.1,11.25
524,4.3899,,4.74e-05,11.13,11.25
525,3.4747,,4.74e-05,11.06,11.25
526,3.9826,,4.74e-05,11.04,11.25
527,3.7319,,4.74e-05,11.04,11.25
