clip,n_notes,tonic,tuning_offset,western_key,pcs_raw,pcs_western,pcs_penta,penta_snapped_pct,penta_marked_pct,western_altered_pct,mean_confidence
e5501cc9_seg034.wav,25,C#,30.5,C# minor,1.0,1.0,1.0,1.0,0.0,0.72,0.8474
e5501cc9_seg035.wav,17,E,30.2,C# minor,1.0,1.0,1.0,1.0,0.0,0.7059,0.85
e5501cc9_seg036.wav,22,E,47.9,F minor,1.0,0.167,1.0,1.0,0.0,0.9545,0.8333
e5501cc9_seg037.wav,22,F,-42.3,F minor,0.9508,0.8771,0.9508,0.9545,0.0455,0.9545,0.8467
e5501cc9_seg038.wav,23,E,47.9,F minor,0.9543,0.1158,0.9543,0.9565,0.0435,0.913,0.8089
e5501cc9_seg039.wav,21,E,31.9,E major,1.0,0.963,1.0,1.0,0.0,0.7619,0.8337
e5501cc9_seg040.wav,22,E,26.4,E major,0.893,1.0,0.893,0.8636,0.1364,0.7273,0.7753
e5501cc9_seg041.wav,27,E,26.3,E major,0.9694,1.0,0.9694,0.963,0.037,0.7037,0.7915
e5501cc9_seg042.wav,18,E,33.5,E major,0.9612,0.9191,0.9612,0.9444,0.0556,0.7222,0.7769
e5501cc9_seg043.wav,12,E,33.2,E major,0.6868,0.4899,0.6868,0.6667,0.3333,0.8333,0.6386
e5501cc9_seg044.wav,15,E,37.4,E major,0.8732,1.0,0.8732,0.8667,0.1333,0.8667,0.7306
e5501cc9_seg045.wav,15,E,41.3,F minor,1.0,0.1814,1.0,1.0,0.0,0.9333,0.8063
e5501cc9_seg046.wav,7,E,44.1,E major,1.0,0.8462,1.0,1.0,0.0,1.0,0.818
e5501cc9_seg047.wav,17,E,26.7,E major,0.9578,1.0,0.9578,0.9412,0.0588,0.7059,0.7922
e5501cc9_seg048.wav,26,F#,18.0,F# minor,0.9696,0.9696,0.9696,0.9615,0.0385,0.6154,0.7841
e5501cc9_seg049.wav,16,B,32.7,E major,1.0,1.0,1.0,1.0,0.0,0.9375,0.9733
e5501cc9_seg050.wav,18,G#,35.6,G# minor,0.9454,1.0,0.9454,0.9444,0.0556,0.9444,0.8509
e5501cc9_seg051.wav,24,G#,34.2,G# minor,0.8895,1.0,0.8895,0.875,0.125,0.9167,0.8409
e5501cc9_seg052.wav,17,E,40.6,E major,0.9012,1.0,0.9012,0.8824,0.1176,1.0,0.8045
e5501cc9_seg053.wav,24,E,38.7,E major,0.9683,1.0,0.9683,0.9583,0.0417,0.9167,0.8181
e5501cc9_seg054.wav,38,E,33.3,E major,0.9145,1.0,0.9145,0.8947,0.1053,0.8947,0.8505
e5501cc9_seg055.wav,41,E,32.4,E major,0.9536,1.0,0.9536,0.9512,0.0488,0.7805,0.8413
e5501cc9_seg056.wav,33,E,35.7,B major,0.9777,1.0,0.9777,0.9697,0.0303,0.8182,0.8261
e5501cc9_seg057.wav,30,E,34.7,E major,0.9763,1.0,0.9763,0.9667,0.0333,0.8667,0.8643
e5501cc9_seg058.wav,26,E,36.3,E major,0.8912,1.0,0.8912,0.8846,0.1154,0.9231,0.8196
e5501cc9_seg059.wav,30,E,32.0,F# minor,0.94,1.0,0.94,0.9333,0.0667,0.8,0.8152
e5501cc9_seg060.wav,27,F#,39.1,F# major,1.0,0.7086,1.0,1.0,0.0,0.7778,0.7813
e5501cc9_seg061.wav,25,E,23.7,F# minor,1.0,0.9293,1.0,1.0,0.0,0.72,0.7711
e5501cc9_seg062.wav,33,E,44.5,F minor,0.9629,0.294,0.9629,0.9697,0.0303,0.8788,0.766
